epoch,train_loss,val_mpjpe,lr
1,0.10672143520307295,0.1703609973192215,0.0003
2,0.08669081324538619,0.16343200206756592,0.0003
3,0.07755936837764744,0.16836854815483093,0.0003
4,0.07420379472608418,0.15728908777236938,0.0003
5,0.0702181301204507,0.18132643401622772,0.0003
6,0.06733975960805859,0.1910249888896942,0.0003
7,0.06567422012539254,0.19089677929878235,0.0003
8,0.06286574748450334,0.18467746675014496,0.0003
9,0.06109624334908638,0.1812828928232193,0.00015
10,0.05883319593351526,0.1869106888771057,0.00015
11,0.05719393307400733,0.17883943021297455,0.00015
12,0.056626182913626595,0.1799546182155609,0.00015
13,0.05576676625720004,0.1756363958120346,0.00015
14,0.05543265822007484,0.16554513573646545,7.5e-05
15,0.054545789496185854,0.17229063808918,7.5e-05
16,0.053598850120588674,0.17268282175064087,7.5e-05
17,0.05367673063631525,0.1785835325717926,7.5e-05
18,0.05332049166726083,0.17220082879066467,7.5e-05
19,0.05281071975519977,0.17511439323425293,3.75e-05
20,0.05228997918671554,0.17152857780456543,3.75e-05
21,0.051861848682165146,0.1752397119998932,3.75e-05
22,0.052145688938572236,0.17235420644283295,3.75e-05
23,0.05177741109863999,0.17327174544334412,3.75e-05
24,0.05164955969247007,0.1733418107032776,1.875e-05
25,0.05123261379596499,0.17469030618667603,1.875e-05
26,0.051569008028384336,0.17292483150959015,1.875e-05
27,0.05095514476529716,0.17301641404628754,1.875e-05
28,0.05092223714461032,0.17465077340602875,1.875e-05
29,0.05076907794039274,0.1738753318786621,9.375e-06
30,0.05076852632859319,0.17290142178535461,9.375e-06
