epoch,train_loss,val_auprc,val_auroc
1,1.1908732772673536,0.02573615102175166,0.5255732145568659
2,0.9478186358941482,0.040294875309443964,0.6688262388014374
3,0.7671294601758322,0.024908887454252224,0.486447841271448
4,0.5506458749320913,0.03150665797186252,0.5676975249278736
5,0.4874849346842592,0.02995407460341148,0.5551956268664271
6,0.47525864481155217,0.024014748775063533,0.4695930556258541
7,0.4394744510451953,0.02825819512611243,0.4582173406893759
8,0.4566065719708392,0.033851693354216145,0.43208736144151444
9,0.32934084205709874,0.023394998700744594,0.3881156045958395
10,0.31422655671362726,0.021384875822665808,0.43077137217188843
11,0.2889942605358859,0.02869059695183592,0.40200941438477494
12,0.30879977743179365,0.021818945074811195,0.4206483777901503
13,0.2249241771672554,0.024360281561999615,0.41760515260414033
14,0.26669233397076214,0.022273717259686205,0.4046667004099812
