epoch,selected_threshold,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.8,0.010120085971093653,0.9898785425101214,0.9808027923211169,0.9756944444444444,0.9782419495213229,0.18419022865710552,0.8553191489361702,0.4301675977653631,1.0,0.6015625,0.001
2,0.8,0.04359498266995436,0.9866396761133603,0.9502487562189055,0.9947916666666666,0.9720101781170484,0.25079577981056295,0.8283687943262411,0.3865979381443299,0.974025974025974,0.5535055350553506,0.001
3,0.8,0.015035889213719435,0.9902834008097166,0.9630872483221476,0.9965277777777778,0.9795221843003413,0.37646800874943026,0.8070921985815603,0.3615023474178404,1.0,0.5310344827586206,0.001
4,0.8,0.007775415454331618,0.9959514170040485,0.9845890410958904,0.9982638888888888,0.9913793103448276,0.2701442998150384,0.8297872340425532,0.39086294416243655,1.0,0.5620437956204379,0.001
5,0.8,0.0093998061692069,0.9947368421052631,0.9779286926994907,1.0,0.9888412017167382,0.2459537962760141,0.8368794326241135,0.4010416666666667,1.0,0.5724907063197026,0.001
6,0.8,0.0027943412013566047,0.9979757085020243,0.9965217391304347,0.9947916666666666,0.9956559513466551,0.43511002073841487,0.8113475177304964,0.36666666666666664,1.0,0.5365853658536586,0.0005
7,0.8,0.0021228068545954843,0.9983805668016195,0.9982578397212544,0.9947916666666666,0.9965217391304347,0.36875730330595224,0.8340425531914893,0.39690721649484534,1.0,0.5682656826568265,0.0005
8,0.8,0.001466788919114109,0.9983805668016195,0.9982578397212544,0.9947916666666666,0.9965217391304347,0.3033819326106121,0.8780141843971632,0.4723926380368098,1.0,0.6416666666666667,0.0005
9,0.8,0.0017207536557119671,0.9991902834008097,0.9982638888888888,0.9982638888888888,0.9982638888888888,0.2655983676356877,0.8964539007092198,0.5133333333333333,1.0,0.6784140969162996,0.0005
10,0.8,0.0009659540914301057,0.9967611336032388,1.0,0.9861111111111112,0.993006993006993,0.41035933214202613,0.8212765957446808,0.3793103448275862,1.0,0.55,0.0005
11,0.8,0.0009007665730859088,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.393595441756038,0.8312056737588652,0.39285714285714285,1.0,0.5641025641025641,0.0005
12,0.8,0.0005428140029701004,0.9991902834008097,1.0,0.9965277777777778,0.9982608695652174,0.6342869261849532,0.8014184397163121,0.3548387096774194,1.0,0.5238095238095238,0.0005
13,0.8,0.0004694581453193613,0.9991902834008097,1.0,0.9965277777777778,0.9982608695652174,0.6393257030408644,0.7914893617021277,0.34375,1.0,0.5116279069767442,0.0005
14,0.8,0.00044915454538351006,0.9991902834008097,1.0,0.9965277777777778,0.9982608695652174,0.3362847569775841,0.8808510638297873,0.4779874213836478,0.987012987012987,0.6440677966101694,0.00025
15,0.8,0.0006880523743658336,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.3309793049075439,0.8609929078014185,0.43859649122807015,0.974025974025974,0.6048387096774194,0.00025
16,0.8,0.000607275180299008,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.28209670673979237,0.8382978723404255,0.4031413612565445,1.0,0.5746268656716418,0.00025
17,0.8,0.0005911823076263959,0.9991902834008097,1.0,0.9965277777777778,0.9982608695652174,0.13687213643430365,0.8992907801418439,0.5202702702702703,1.0,0.6844444444444444,0.00025
18,0.8,0.0003993276222873213,0.9987854251012146,1.0,0.9947916666666666,0.9973890339425587,0.11938783227136086,0.9106382978723404,0.55,1.0,0.7096774193548387,0.00025
19,0.8,0.00027873996159991055,1.0,1.0,1.0,1.0,0.09818095947011062,0.9333333333333333,0.6209677419354839,1.0,0.7661691542288557,0.00025
20,0.8,0.00019257065878498835,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.04965904142793173,0.9659574468085106,0.7623762376237624,1.0,0.8651685393258427,0.00025
21,0.8,0.0002356186082247609,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.04461853990675893,0.9702127659574468,0.7857142857142857,1.0,0.88,0.00025
22,0.8,0.00017322464238690293,1.0,1.0,1.0,1.0,0.08125945555255663,0.9460992907801419,0.6695652173913044,1.0,0.8020833333333334,0.00025
23,0.8,0.00014887575036794627,1.0,1.0,1.0,1.0,0.06562377648313215,0.9560283687943263,0.7129629629629629,1.0,0.8324324324324325,0.00025
24,0.8,0.0001385678865246107,1.0,1.0,1.0,1.0,0.1006909190959769,0.9404255319148936,0.6470588235294118,1.0,0.7857142857142857,0.00025
25,0.8,0.00010720457622263918,1.0,1.0,1.0,1.0,0.14945385030492186,0.9205673758865248,0.5789473684210527,1.0,0.7333333333333333,0.00025
26,0.8,0.00013303751394965233,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.1546413346674595,0.9106382978723404,0.55,1.0,0.7096774193548387,0.000125
27,0.8,8.850373611178087e-05,1.0,1.0,1.0,1.0,0.1085084111399345,0.9404255319148936,0.6470588235294118,1.0,0.7857142857142857,0.000125
28,0.8,8.188003921907397e-05,1.0,1.0,1.0,1.0,0.11214425059298938,0.9390070921985816,0.6416666666666667,1.0,0.7817258883248731,0.000125
29,0.8,7.277462837700138e-05,1.0,1.0,1.0,1.0,0.11318368973726228,0.9418439716312057,0.652542372881356,1.0,0.7897435897435897,0.000125
30,0.8,7.901608212332824e-05,1.0,1.0,1.0,1.0,0.11432050533565674,0.9375886524822695,0.6363636363636364,1.0,0.7777777777777778,0.000125
31,0.8,0.0001317469613158536,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.15389832630438197,0.9191489361702128,0.5746268656716418,1.0,0.7298578199052133,6.25e-05
32,0.8,0.00010891074236474146,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.16516301875174982,0.9134751773049645,0.5579710144927537,1.0,0.7162790697674418,6.25e-05
33,0.8,8.728426657054319e-05,0.9995951417004049,1.0,0.9982638888888888,0.9991311902693311,0.181538033578207,0.9120567375886525,0.5539568345323741,1.0,0.7129629629629629,6.25e-05
