epoch,train_loss,train_macro_f1,train_accuracy,val_loss,val_macro_f1,val_accuracy
1,0.34258178389870036,0.7998807751727354,0.8089560918871765,1.472847731558831,0.18473070027693753,0.18473895582329317
2,0.20852030532633647,0.8937906087395068,0.913346903169526,0.592979704776963,0.6090396012393534,0.713520749665328
3,0.20012759989115675,0.877212967903065,0.8929921488804885,0.6114134002517868,0.628857958391447,0.7095046854082999
4,0.18651740301243652,0.8948487874287485,0.9113114277406222,0.4432116885270391,0.6936670055309149,0.7764390896921017
5,0.14404510953662397,0.9233250713404825,0.9389357371328875,0.4542679436259217,0.6629923455242993,0.7523427041499331
6,0.1152997796116112,0.9408659041581319,0.9543471939517302,0.5098401046061254,0.7109766350449229,0.7817938420348058
7,0.10002274432761216,0.942634387162243,0.9555103227682465,0.5970759106861366,0.6234011244694723,0.7469879518072289
8,0.12809951017381493,0.9254823283896481,0.9412619947659203,0.289984678788172,0.7833828289088594,0.8554216867469879
9,0.11369003226025841,0.9382606830102215,0.9520209363186973,0.46449641023690885,0.666315883111654,0.7643908969210174
10,0.11174819089050478,0.9345827210556452,0.951439371910439,0.3695225867105054,0.6485901865109045,0.7951807228915663
11,0.08682746180541004,0.9505791421773201,0.962198313463216,0.4513762008685332,0.6622802895071644,0.7737617135207496
12,0.07704976570090127,0.956240243322002,0.9677231753416691,0.6054639063038669,0.6031461156688755,0.7336010709504686
13,0.0998585483286549,0.9480130612874126,0.959290491421925,0.31995943319666514,0.7595403888650418,0.8540829986613119
14,0.060308987521201306,0.9658682589600431,0.9744111660366386,0.319867120462132,0.7819543001942574,0.8433734939759037
15,0.05725547004532821,0.968373854392849,0.9758650770572841,0.21022015924637133,0.8501349347199646,0.9009370816599732
16,0.055251341569145775,0.9715285993508428,0.9784821168944461,0.347693444444583,0.7770718751110907,0.8447121820615796
17,0.05200103646222656,0.9720880845395024,0.9787728990985751,0.3425607371379386,0.7444441834832833,0.8273092369477911
18,0.05170962614180137,0.9741700510322073,0.9808083745274789,0.2709710466173979,0.7961344563885399,0.8781793842034806
19,0.05463028480131049,0.9652083233812062,0.9732480372201221,0.6951214506157807,0.6270687279971559,0.7376171352074966
20,0.04833560967279354,0.972467331008033,0.9790636813027043,0.32207483564923095,0.7716708275762554,0.8393574297188755
21,0.03695898626451957,0.9803738608357274,0.9851701075894155,0.3481335146454992,0.7498280182549228,0.8259705488621151
22,0.034989852617265525,0.9816836390522746,0.9860424542018028,0.33088996922494945,0.7951962813144204,0.8460508701472557
23,0.032914297809176395,0.982358106699072,0.9866240186100611,0.3083103868168789,0.7775100773441882,0.8500669344042838
24,0.03152383764223947,0.9848042449439888,0.9883687118348357,0.37521611532749055,0.7750052653093474,0.8406961178045516
25,0.038090949040667565,0.9807019747865401,0.9851701075894155,0.4034400401370866,0.747853892508124,0.8099062918340026
26,0.02737440549168773,0.9855753403771232,0.988950276243094,0.33745955880526657,0.7886122032911024,0.8540829986613119
27,0.026090074056500635,0.9870295072662737,0.9901134050596103,0.30450913445143907,0.8110493599536427,0.8728246318607764
28,0.025727843059903017,0.9870645093746298,0.9901134050596103,0.32699252787854644,0.8004228479599117,0.8634538152610441
29,0.025626382706762985,0.9842772517894892,0.9877871474265775,0.34174705440035236,0.7936856111568287,0.8527443105756358
30,0.026266677733121625,0.9853828420211367,0.988950276243094,0.2924760385406214,0.8204280247468562,0.8795180722891566
