video_name,start_sec,end_sec,label
sujin_fall_normal_02.mp4,0,1,ignore
sujin_fall_normal_02.mp4,1,3,falling
sujin_fall_normal_02.mp4,3,9,lying
sujin_fall_normal_02.mp4,9,15,getting_up
sujin_fall_normal_02.mp4,15,16,standing
sujin_fall_normal_02.mp4,16,18,falling
sujin_fall_normal_02.mp4,18,24,lying
sujin_fall_normal_02.mp4,24,30,getting_up
sujin_fall_normal_02.mp4,30,31,standing
sujin_fall_normal_02.mp4,31,33,falling
sujin_fall_normal_02.mp4,33,43,lying
sujin_fall_normal_02.mp4,43,46,getting_up
sujin_fall_normal_02.mp4,46,48,standing
sujin_fall_normal_02.mp4,48,50,falling
sujin_fall_normal_02.mp4,50,59,lying
sujin_fall_normal_02.mp4,59,63,getting_up
sujin_fall_normal_02.mp4,63,64,standing
sujin_fall_normal_02.mp4,64,66,falling
sujin_fall_normal_02.mp4,66,70,lying
sujin_fall_normal_02.mp4,70,74,getting_up
sujin_fall_normal_02.mp4,74,78,ignore
sujin_fall_normal_02.mp4,78,80,falling
sujin_fall_normal_02.mp4,80,89,lying
sujin_fall_normal_02.mp4,89,92,getting_up
sujin_fall_normal_02.mp4,92,94,standing
sujin_fall_normal_02.mp4,94,96,falling
sujin_fall_normal_02.mp4,96,99,ignore
sujin_fall_normal_02.mp4,99,105,lying
sujin_fall_normal_02.mp4,105,110,getting_up
sujin_fall_normal_02.mp4,110,111,standing
sujin_fall_normal_02.mp4,111,113,falling
sujin_fall_normal_02.mp4,113,115,lying
sujin_fall_normal_02.mp4,115,120,ignore
