video_name,start_sec,end_sec,label
sujin_fall_normal_01.mp4,0,1,ignore
sujin_fall_normal_01.mp4,1,2,falling
sujin_fall_normal_01.mp4,2,6,ignore
sujin_fall_normal_01.mp4,6,9,getting_up
sujin_fall_normal_01.mp4,9,12,ignore
sujin_fall_normal_01.mp4,12,13,standing
sujin_fall_normal_01.mp4,13,15,falling
sujin_fall_normal_01.mp4,15,22,lying
sujin_fall_normal_01.mp4,22,26,getting_up
sujin_fall_normal_01.mp4,26,28,standing
sujin_fall_normal_01.mp4,28,30,falling
sujin_fall_normal_01.mp4,30,32,lying
sujin_fall_normal_01.mp4,32,37,getting_up
sujin_fall_normal_01.mp4,37,40,standing
sujin_fall_normal_01.mp4,40,42,falling
sujin_fall_normal_01.mp4,42,51,lying
sujin_fall_normal_01.mp4,51,56,getting_up
sujin_fall_normal_01.mp4,56,58,standing
sujin_fall_normal_01.mp4,58,60,falling
sujin_fall_normal_01.mp4,60,71,lying
sujin_fall_normal_01.mp4,71,77,getting_up
sujin_fall_normal_01.mp4,77,82,standing
sujin_fall_normal_01.mp4,82,84,falling
sujin_fall_normal_01.mp4,84,93,lying
sujin_fall_normal_01.mp4,93,97,getting_up
sujin_fall_normal_01.mp4,97,98,standing
sujin_fall_normal_01.mp4,98,100,falling
sujin_fall_normal_01.mp4,100,107,lying
sujin_fall_normal_01.mp4,107,112,getting_up
sujin_fall_normal_01.mp4,112,115,standing
sujin_fall_normal_01.mp4,115,117,falling
sujin_fall_normal_01.mp4,117,125,ignore
sujin_fall_normal_01.mp4,125,129,getting_up
sujin_fall_normal_01.mp4,129,130,standing
sujin_fall_normal_01.mp4,130,132,falling
sujin_fall_normal_01.mp4,132,138,lying
sujin_fall_normal_01.mp4,138,144,getting_up
sujin_fall_normal_01.mp4,144,148,standing
sujin_fall_normal_01.mp4,148,150,falling
sujin_fall_normal_01.mp4,150,157,lying
sujin_fall_normal_01.mp4,157,163,getting_up
sujin_fall_normal_01.mp4,163,165,standing
sujin_fall_normal_01.mp4,165,167,falling
sujin_fall_normal_01.mp4,167,173,getting_up
sujin_fall_normal_01.mp4,173,175,falling
sujin_fall_normal_01.mp4,175,179,ignore
