epoch,train_loss,val_auprc,val_auroc
1,0.6677252720900864,0.9999999999999998,1.0
2,0.5261722931727058,0.9999999999999998,1.0
3,0.4413287308374324,0.9928229665071768,0.9990131578947368
4,0.46937074334709905,0.9535412605588043,0.9529605263157894
5,0.37841883844093366,0.9389908880728952,0.9832236842105264
6,0.3757781166099377,0.9355644355644354,0.9559210526315789
7,0.2990909611294046,0.9438231394477429,0.950328947368421
8,0.35851311961243165,0.6949249445753923,0.8052631578947368
9,0.3074972846495387,0.8105530230359342,0.9177631578947368
10,0.25762248203439714,0.7821225040626277,0.8700657894736843
11,0.21728724517714848,0.8274039354032435,0.9019736842105264
12,0.29495477727709374,0.5474268250426346,0.7351973684210525
13,0.3138869533292018,0.9630541871921181,0.993421052631579
