epoch,train_loss,val_mpjpe,lr
1,0.10498151872199395,0.13479170203208923,0.0003
2,0.08989433668596897,0.1505265235900879,0.0003
3,0.07922777027494646,0.1310722976922989,0.0003
4,0.0732606530318715,0.13647496700286865,0.0003
5,0.07108844614270106,0.1378105729818344,0.0003
6,0.06739815806894633,0.13851021230220795,0.0003
7,0.06556546380151214,0.17292983829975128,0.0003
8,0.06464588071483408,0.16188009083271027,0.00015
9,0.060136868085475324,0.14769066870212555,0.00015
10,0.05992279119918801,0.13607172667980194,0.00015
11,0.05805193701748214,0.1343882828950882,0.00015
12,0.057229910993334875,0.14060455560684204,0.00015
13,0.05730166357290538,0.13796427845954895,7.5e-05
14,0.055037713981088185,0.1439208686351776,7.5e-05
15,0.054778241224027094,0.14354820549488068,7.5e-05
16,0.054516103441660115,0.14684638381004333,7.5e-05
17,0.05407990358037756,0.14767950773239136,7.5e-05
18,0.05389596928836982,0.14854754507541656,3.75e-05
19,0.053028150919200365,0.14072206616401672,3.75e-05
20,0.05294462956617333,0.1435827612876892,3.75e-05
21,0.052783994725501604,0.1482747495174408,3.75e-05
22,0.05216820800752309,0.14191895723342896,3.75e-05
23,0.05226442450388318,0.14400644600391388,1.875e-05
24,0.05192505858967759,0.14388827979564667,1.875e-05
25,0.05195021153443811,0.14425860345363617,1.875e-05
26,0.05179728884142258,0.14109019935131073,1.875e-05
27,0.05165080239490277,0.14274635910987854,1.875e-05
28,0.05152498637837482,0.14422206580638885,9.375e-06
29,0.051522296912580555,0.14121808111667633,9.375e-06
30,0.05149053980332578,0.14310690760612488,9.375e-06
31,0.0515779133433896,0.13853758573532104,9.375e-06
32,0.051582285606792205,0.1401246190071106,9.375e-06
33,0.051386659394282136,0.14435909688472748,4.6875e-06
34,0.051014176446061606,0.14264412224292755,4.6875e-06
35,0.05109661246913706,0.14187778532505035,4.6875e-06
36,0.05107572984833249,0.1419331133365631,4.6875e-06
37,0.0512119175467877,0.1414155662059784,4.6875e-06
38,0.05116209273651845,0.14150120317935944,2.34375e-06
39,0.05114084012763349,0.1423475593328476,2.34375e-06
40,0.05124354132079665,0.14162631332874298,2.34375e-06
41,0.05081584659873405,0.14175964891910553,2.34375e-06
