video_name,start_sec,end_sec,label
yena_fall_normal_02.mp4,0,1,ignore
yena_fall_normal_02.mp4,1,3,falling
yena_fall_normal_02.mp4,3,5,lying
yena_fall_normal_02.mp4,5,12,transition
yena_fall_normal_02.mp4,12,13,standing
yena_fall_normal_02.mp4,13,15,falling
yena_fall_normal_02.mp4,15,20,lying
yena_fall_normal_02.mp4,20,26,transition
yena_fall_normal_02.mp4,26,28,standing
yena_fall_normal_02.mp4,28,30,falling
yena_fall_normal_02.mp4,30,35,lying
yena_fall_normal_02.mp4,35,40,transition
yena_fall_normal_02.mp4,40,41,standing
yena_fall_normal_02.mp4,41,43,falling
yena_fall_normal_02.mp4,43,49,lying
yena_fall_normal_02.mp4,49,54,transition
yena_fall_normal_02.mp4,54,56,standing
yena_fall_normal_02.mp4,56,58,falling
yena_fall_normal_02.mp4,58,64,lying
yena_fall_normal_02.mp4,64,72,transition
yena_fall_normal_02.mp4,72,73,standing
yena_fall_normal_02.mp4,73,75,falling
yena_fall_normal_02.mp4,75,80,lying
yena_fall_normal_02.mp4,80,88,transition
yena_fall_normal_02.mp4,88,90,standing
yena_fall_normal_02.mp4,90,92,falling
yena_fall_normal_02.mp4,92,96,lying
yena_fall_normal_02.mp4,96,104,transition
yena_fall_normal_02.mp4,104,105,standing
yena_fall_normal_02.mp4,105,107,falling
yena_fall_normal_02.mp4,107,114,lying
yena_fall_normal_02.mp4,114,122,transition
yena_fall_normal_02.mp4,122,124,standing
yena_fall_normal_02.mp4,124,126,falling
yena_fall_normal_02.mp4,126,133,lying
yena_fall_normal_02.mp4,133,139,transition
yena_fall_normal_02.mp4,139,140,standing
yena_fall_normal_02.mp4,140,142,falling
yena_fall_normal_02.mp4,142,147,lying
yena_fall_normal_02.mp4,147,154,transition
yena_fall_normal_02.mp4,154,155,standing
yena_fall_normal_02.mp4,155,157,falling
yena_fall_normal_02.mp4,157,161,lying
yena_fall_normal_02.mp4,161,167,transition
yena_fall_normal_02.mp4,167,168,standing
yena_fall_normal_02.mp4,168,170,falling
yena_fall_normal_02.mp4,170,175,lying
yena_fall_normal_02.mp4,175,180,ignore
