epoch,train_loss,val_auprc,val_auroc
1,1.2242986085463543,0.04510951772408661,0.7235663309206863
2,0.9291217395123219,0.03640477798152762,0.6010021764437921
3,0.7840469770032812,0.05014499588422358,0.6501872753960622
4,0.6196562875961436,0.046309654170496414,0.6641570076428608
5,0.5504067193235265,0.04665214188353918,0.6470111859087919
6,0.482696075604966,0.030282833087265083,0.5200182213898872
7,0.4503967040566867,0.05638352095173287,0.5867540618514957
8,0.38635479979290577,0.05435962720821963,0.5738978589866882
9,0.3771045479183713,0.027422329456571023,0.42387508224932935
10,0.32116194410817317,0.03221368745394422,0.45315584349850685
11,0.2897943399081539,0.023103768687734498,0.36837576555145013
12,0.28401528075369087,0.03833660871404144,0.4676823404363011
13,0.27096158297214384,0.040812604442259676,0.46550589664422737
14,0.22710212926138315,0.02929976050626243,0.35574733006023185
15,0.20898431165905268,0.03449352017281365,0.3481550842739282
16,0.2835140930605908,0.023838629442543793,0.3482942754466771
17,0.23755012462041467,0.02245345558790173,0.34256212987801793
18,0.15914276086065607,0.02202053007366199,0.404350356835552
19,0.1159699134969687,0.03656489430735877,0.3906336994482968
