epoch,train_loss,val_auprc,val_auroc
1,0.7267347703874111,0.9973684210526315,0.999671052631579
2,0.5264691024115591,0.9807017543859649,0.9963815789473685
3,0.4468805837609312,0.9438643670259012,0.9598684210526316
4,0.46077995957806706,0.9999999999999998,1.0
5,0.4152591180255903,0.8721774755749616,0.9115131578947367
6,0.373202914029968,0.9999999999999998,1.0
7,0.3536897838175629,0.7735861515979546,0.8447368421052631
8,0.3374468580848176,0.642020890871121,0.8407894736842106
9,0.27150062424148996,0.6252046244559015,0.7292763157894737
10,0.289221683592426,0.9315259032239052,0.98125
11,0.3437397483527204,0.8721600240378116,0.9644736842105264
12,0.2547304507880472,0.8734589648187028,0.9575657894736842
13,0.295340438442996,0.9321585697991106,0.9802631578947367
14,0.20520718694274134,0.7765291920156394,0.9082236842105263
15,0.19313247658261606,0.7930333215473211,0.8924342105263158
16,0.1818875998551358,0.8542138836802349,0.9766447368421052
