epoch,train_loss,val_auprc,val_auroc
1,0.3139739101163194,0.9743937370374964,0.9933988838692532
2,0.0881763759434062,0.9797894111924622,0.997884666489503
3,0.08639867288757505,0.9993138936535162,0.9999787403667287
4,0.07978497474316425,0.9864512244078684,0.9985649747541855
5,0.026480856720264706,0.9753953739635528,0.9978952963061387
6,0.028711268320520227,0.9983734547820429,0.9999468509168217
7,0.03701597530764118,0.9899040052962594,0.9993515811852245
8,0.01599283852593808,0.9996505939902165,0.9999893701833643
9,0.04453416087627271,0.9996505939902166,0.9999893701833644
10,0.018394978420213533,1.0,1.0
11,0.018537838850934348,0.9896137555831717,0.9995110284347595
12,0.010311182510863806,0.9996505939902166,0.9999893701833643
13,0.0009546757998062386,0.9924640073597373,0.9996917353175657
14,0.0158862921845749,0.9972611077297626,0.999904331650279
15,0.006084108359835204,0.9996505939902166,0.9999893701833643
16,0.0008571894672283447,0.9850457541038795,0.9994259899016742
17,0.0033450166856166573,0.9537549418496917,0.9878713792187085
18,0.029865502315096232,0.9996505939902166,0.9999893701833643
19,0.006007558460045333,1.0,1.0
20,0.005315417889509969,0.9989578950775106,0.999968110550093
21,0.0005103952812518091,0.9976546115035698,0.9999255912835504
22,0.027231252715751726,0.997525518094649,0.9999149614669146
